new_track_id,old_track_ids,merged_count
1,[1],1
2,[20],1
3,[21],1
4,[22],1
5,[23],1
6,[25],1
7,[26],1
8,[19],1
9,[27],1
10,[29],1
11,[30],1
12,[31],1
13,[32],1
14,[33],1
15,[34],1
16,[28],1
17,[18],1
18,[24],1
19,[16],1
20,[2],1
21,[17],1
22,[4],1
23,[5],1
24,[6],1
25,[7],1
26,[8],1
27,[3],1
28,[10],1
29,[11],1
30,[9],1
31,[12],1
32,[13],1
33,[14],1
34,[15],1
35,[35],1
36,[36],1
37,[37],1
38,[38],1
39,[39],1
40,[40],1
41,"[41, 70.0]",2
42,[42],1
43,"[43, 83.0]",2
44,[44],1
45,[45],1
46,[46],1
47,[47],1
48,[48],1
49,[49],1
50,[50],1
51,[51],1
52,[52],1
53,[53],1
54,[54],1
55,[55],1
56,[56],1
57,[57],1
58,[58],1
59,[59],1
60,"[60, 71.0]",2
61,[61],1
62,[62],1
63,[63],1
64,"[64, 76.0]",2
65,[65],1
66,"[66, 73.0]",2
67,[67],1
68,[68],1
69,[69],1
70,[72],1
71,[75],1
72,[74],1
73,[77],1
74,[78],1
75,[79],1
76,[80],1
77,[81],1
78,[82],1
79,[84],1
80,[85],1
81,[86],1
82,[87],1
83,[88],1
84,[89],1
85,[90],1
86,[91],1
87,[92],1
88,[93],1
89,[94],1
90,[95],1
91,[96],1
92,[97],1
93,[98],1
